timestamp,elapsed_s,source,laser_front_mm,sonar_front_cm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,battery_mv,current_mv,rpm_rear_left,rpm_rear_right,rpm_front_right,cmd_pwm_left,cmd_pwm_right,applied_pwm_fl,applied_pwm_fr,applied_pwm_rl,applied_pwm_rr,gear,throttle_input,steering_input,is_braking,is_forward,sync_status,target_rpm_left,target_rpm_right
1773045053.4898,0.0549,gamepad_hot_start,725,100,-0.469,0.117,1.022,0.61,0.44,0.49,35.1,2216.8,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.6603,0.2254,gamepad_hot_start,275,100,-0.474,0.109,1.018,0.62,0.31,0.38,35.1,2215.4,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.6807,0.2458,gamepad_hot_start,275,100,-0.474,0.109,1.018,0.62,0.31,0.38,35.1,2215.4,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.7013,0.2665,gamepad_hot_start,275,100,-0.474,0.109,1.018,0.62,0.31,0.38,35.1,2215.4,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.7218,0.2869,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.7424,0.3075,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.7628,0.3279,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.7831,0.3482,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.8035,0.3687,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.8239,0.389,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.8443,0.4094,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.865,0.4301,gamepad_hot_start,-1,100,-0.469,0.11,1.016,0.69,0.56,0.39,35.1,2220.1,576.9,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.8862,0.4513,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.9066,0.4717,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.9271,0.4922,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.9474,0.5126,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.9678,0.533,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045053.9882,0.5534,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045054.0087,0.5738,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045054.0292,0.5943,gamepad_hot_start,-1,100,-0.475,0.114,1.014,0.64,0.43,0.5,35.4,2220.4,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045054.0495,0.6147,gamepad_hot_start,-1,100,-0.468,0.113,1.021,0.71,0.27,0.44,35.0,2220.1,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045054.0702,0.6353,gamepad_hot_start,-1,100,-0.468,0.113,1.021,0.71,0.27,0.44,35.0,2220.1,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
1773045054.0906,0.6557,gamepad_hot_start,-1,100,-0.468,0.113,1.021,0.71,0.27,0.44,35.0,2220.1,576.6,0.0,0.0,0.0,0,0,75.0,28.2,75.0,22.0,1,0,0,False,True,ACTIVE,180.0,180.0
