timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772282944.7795203,,100,999,False,False,0.005,0.004,0.95,0.95,0.09,0.0,12.1,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282945.108498,,100,999,False,False,0.033,-0.004,0.999,1.0,-0.51,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282945.459935,,100,999,False,False,0.077,0.018,0.818,0.822,-0.33,0.0,12.11,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282945.8110502,,100,999,False,False,0.029,-0.013,1.009,1.01,-0.22,0.0,12.1,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282946.1139853,,100,999,False,False,-0.023,0.009,1.005,1.005,-0.17,0.0,12.11,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282946.4722376,,58.6,999,False,False,0.069,0.009,0.786,0.789,-0.91,0.0,12.11,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282946.8298197,,58.6,999,False,False,0.086,0.006,0.794,0.799,-0.64,0.0,12.11,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282947.1358047,,58.6,999,False,False,0.04,-0.019,0.968,0.969,0.13,0.0,12.11,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282947.4885361,,58.6,999,False,False,0.086,0.011,0.851,0.855,-0.17,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282947.8410387,,58.6,999,False,False,0.033,-0.019,1.024,1.025,-0.31,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282948.1422195,,58.6,999,False,False,-0.011,0.009,1.016,1.016,-0.01,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282948.492337,,58.6,999,False,False,-0.002,0.004,0.975,0.975,-0.24,0.0,11.93,5.85,,,,,,,,,,,,,,,,,,,,,,
1772282948.8417332,,58.6,999,False,False,0.011,0.003,1.145,1.145,-0.66,0.0,12.02,5.84,,,,,,,,,,,,,,,,,,,,,,
1772282949.141928,,58.6,999,False,False,0.03,-0.009,1.029,1.03,-0.81,0.0,11.88,5.87,,,,,,,,,,,,,,,,,,,,,,
1772282949.4917524,,58.6,999,False,False,-0.041,-0.006,1.08,1.081,0.03,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282949.8423533,,58.6,999,False,False,-0.044,0.013,1.041,1.042,-0.96,0.0,11.94,5.83,,,,,,,,,,,,,,,,,,,,,,
1772282950.1425316,,58.6,999,False,False,0.003,-0.026,0.972,0.972,-1.42,0.0,12.06,5.84,,,,,,,,,,,,,,,,,,,,,,
1772282950.4918075,,58.6,999,False,False,0.08,0.007,0.822,0.826,-0.66,0.0,12.12,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282950.8412476,,58.6,999,False,False,-0.007,0.016,1.024,1.024,0.24,0.0,12.1,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282951.1412537,,58.6,999,False,False,-0.072,-0.005,1.106,1.108,0.27,0.0,12.11,5.82,,,,,,,,,,,,,,,,,,,,,,
1772282951.4918666,,58.6,999,False,False,-0.042,0.026,0.889,0.89,-0.17,0.0,12.11,5.82,,,,,,,,,,,,,,,,,,,,,,
