Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772272030.874,29.9,0,0,200.0,200.0,1,-0.66,21.6,27.3,20.0,10.7,12.15,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272030.928,29.9,0,0,200.0,200.0,1,-0.66,36.7,38.2,40.0,8.5,12.15,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272030.983,29.9,0,0,200.0,200.0,1,-0.66,47.3,42.6,60.0,3.0,12.15,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.037,29.9,0,0,200.0,200.0,1,-0.91,54.7,44.3,80.0,2.1,12.02,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272031.092,29.9,0,0,200.0,200.0,1,-0.91,59.9,45.0,100.0,5.9,12.02,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272031.146,29.9,0,0,200.0,200.0,1,-10.23,63.5,45.3,100.0,7.2,11.75,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.200,31.9,0,0,200.0,200.0,1,-10.23,66.1,45.4,100.0,9.0,11.75,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.255,33.5,0,0,200.0,200.0,1,-10.23,67.8,45.5,100.0,10.3,11.75,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.310,35.8,0,0,200.0,200.0,1,-49.34,69.1,45.5,100.0,6.2,11.74,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.364,34.5,0,0,200.0,200.0,1,-49.34,70.0,45.5,100.0,6.8,11.74,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.420,46.0,0,0,44.1,200.0,1,-49.34,70.6,78.2,100.0,17.1,11.74,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.475,42.6,0,0,44.1,200.0,1,-95.91,71.0,91.3,100.0,17.0,11.81,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.530,47.6,0,0,44.1,47.1,1,-95.91,61.1,76.7,100.0,24.1,11.81,5.81,0.0,🐍 SLALOM (Urg: 0.95)
1772272031.586,47.4,0,0,44.1,47.1,1,-95.91,54.2,65.0,100.0,25.4,11.81,5.81,0.0,🐍 SLALOM (Urg: 0.95)
1772272031.642,55.4,0,0,44.1,47.1,1,-98.16,50.5,55.5,100.0,22.7,11.78,5.81,0.0,🐍 SLALOM (Urg: 0.90)
1772272031.697,54.7,0,0,200.0,47.1,1,-98.16,57.0,-37.8,80.0,42.7,11.78,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.753,54.2,0,0,200.0,47.1,1,-98.16,61.5,-75.1,60.0,62.7,11.78,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272031.809,54.4,0,0,200.0,47.1,1,-97.66,64.6,-90.0,40.0,82.7,11.78,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272031.865,53.9,0,0,200.0,200.0,1,-97.66,66.8,-11.1,60.0,65.3,11.78,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272031.920,52.4,0,0,200.0,200.0,1,-97.66,68.4,20.8,80.0,45.3,11.78,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272031.976,52.2,0,0,200.0,200.0,1,-3.18,69.5,33.5,100.0,26.9,11.62,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272032.032,52.4,0,0,200.0,200.0,1,-3.18,70.2,38.6,100.0,20.8,11.62,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272032.087,53.0,0,0,200.0,200.0,1,-1.84,70.8,40.5,100.0,19.1,11.68,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272032.143,56.7,0,0,200.0,200.0,1,-1.84,71.1,40.7,100.0,19.2,11.68,5.81,273.0,🔥 HIGH-SPEED CARVE!
1772272032.201,95.7,0,0,200.0,200.0,1,-1.84,68.4,35.0,100.0,24.3,11.68,5.81,273.0,🐍 SLALOM (Urg: 0.65)
1772272032.259,91.1,0,0,200.0,200.0,1,-32.76,65.9,30.6,100.0,23.2,11.78,5.81,273.0,🐍 SLALOM (Urg: 0.68)
1772272032.317,88.1,0,0,71.7,200.0,1,-32.76,63.8,34.4,100.0,16.8,11.78,5.81,273.0,🐍 SLALOM (Urg: 0.70)
1772272032.375,86.5,0,0,71.7,200.0,1,-32.76,62.1,37.5,100.0,11.6,11.78,5.81,273.0,🐍 SLALOM (Urg: 0.71)
1772272032.433,85.7,0,0,71.7,200.0,1,-47.79,60.5,40.1,100.0,5.3,11.79,5.81,273.0,🐍 SLALOM (Urg: 0.71)
1772272032.491,82.0,0,0,71.7,200.0,1,-47.79,58.9,42.5,100.0,1.4,11.79,5.81,273.0,🐍 SLALOM (Urg: 0.74)
1772272032.548,79.7,0,0,71.7,200.0,1,-46.24,57.4,44.6,100.0,1.8,11.85,5.81,273.0,🐍 SLALOM (Urg: 0.75)
1772272032.605,77.3,0,0,200.0,200.0,1,-46.24,56.1,38.6,100.0,3.3,11.85,5.81,273.0,🐍 SLALOM (Urg: 0.77)
1772272032.663,75.6,0,0,200.0,200.0,1,-46.24,54.9,33.9,100.0,7.8,11.85,5.81,273.0,🐍 SLALOM (Urg: 0.78)
1772272032.720,72.1,0,0,200.0,200.0,1,-53.33,53.7,30.2,97.3,10.1,11.86,5.81,273.0,🐍 SLALOM (Urg: 0.80)
1772272032.777,72.3,0,0,200.0,200.0,1,-53.33,52.9,27.2,93.0,12.8,11.86,5.81,273.0,🐍 SLALOM (Urg: 0.80)
1772272032.834,70.3,0,0,200.0,200.0,1,-53.33,52.0,24.9,89.4,14.6,11.86,5.81,273.0,🐍 SLALOM (Urg: 0.81)
1772272032.891,68.6,0,0,200.0,200.0,1,-56.85,58.0,32.4,100.0,10.8,11.85,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272032.947,67.6,0,0,200.0,200.0,1,-56.85,62.2,35.5,100.0,10.4,11.85,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.004,65.9,0,0,200.0,200.0,1,-56.85,65.1,37.1,100.0,10.9,11.85,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.061,65.2,0,0,200.0,153.5,1,-48.91,67.2,-15.7,80.0,30.9,11.82,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.118,69.1,0,0,200.0,153.5,1,-48.91,68.6,-36.0,60.0,50.9,11.82,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.175,63.3,0,0,200.0,153.5,1,-56.58,69.7,-45.4,40.0,70.9,11.81,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.231,61.2,0,0,200.0,153.5,1,-56.58,70.4,-49.6,20.0,90.9,11.81,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.287,60.1,0,0,200.0,153.5,1,-56.58,70.8,-51.6,15.0,100.0,11.81,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.343,58.1,0,0,200.0,200.0,1,-10.74,71.2,3.6,35.0,80.0,11.76,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.400,56.3,0,0,200.0,200.0,1,-10.74,71.4,26.0,55.0,60.0,11.76,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.456,55.1,0,0,200.0,200.0,1,-10.74,71.6,35.1,75.0,40.0,11.76,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.512,53.5,0,0,200.0,200.0,1,27.26,71.7,39.0,95.0,26.2,11.79,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.568,52.4,0,0,200.0,200.0,1,27.26,71.8,40.8,100.0,24.0,11.79,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.624,52.1,0,0,200.0,200.0,1,27.26,71.9,41.6,100.0,23.0,11.79,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.680,49.5,0,0,200.0,200.0,1,-6.37,71.9,42.3,100.0,17.1,11.79,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.735,49.8,0,0,200.0,200.0,1,-6.37,71.9,42.5,100.0,16.9,11.79,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.791,57.5,0,0,200.0,200.0,1,-19.35,72.0,41.3,100.0,16.4,11.82,5.81,141.0,🔥 HIGH-SPEED CARVE!
1772272033.849,94.4,0,0,200.0,200.0,1,-19.35,69.0,35.6,100.0,21.1,11.82,5.81,141.0,🐍 SLALOM (Urg: 0.66)
1772272033.907,79.9,0,0,200.0,200.0,1,-19.35,64.5,31.4,100.0,23.5,11.82,5.81,141.0,🐍 SLALOM (Urg: 0.75)
1772272033.964,81.8,0,0,200.0,200.0,1,-31.94,61.6,27.9,99.4,23.9,11.81,5.81,189.0,🐍 SLALOM (Urg: 0.74)
