elapsed_s,tick,event,wp_idx,wp_total,wp_target_x,wp_target_y,pos_x,pos_y,heading_deg,v_linear,v_angular,dist_to_wp,desired_hdg,hdg_error,steer_deg,steer_pw,cmd_speed,rpm_l,rpm_r,enc_l,enc_r,duty_l,duty_r,gyro_z,accel_x,accel_y,mag_x,mag_y,compass_deg,laser_mm,temp_c,batt_adc,stuck_count,moved_cm,note
0.000,0,INIT,0,0,0.0000,0.0000,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,trail_points=181
0.002,0,WAYPOINT_PLAN,0,18,-0.1355,-0.9334,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_1_of_18
0.002,0,WAYPOINT_PLAN,1,18,-0.3688,-0.7287,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_2_of_18
0.002,0,WAYPOINT_PLAN,2,18,-0.6470,-0.5824,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_3_of_18
0.002,0,WAYPOINT_PLAN,3,18,-0.4482,-0.3211,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_4_of_18
0.002,0,WAYPOINT_PLAN,4,18,-0.1314,-0.2258,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_5_of_18
0.002,0,WAYPOINT_PLAN,5,18,0.1881,-0.1928,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_6_of_18
0.003,0,WAYPOINT_PLAN,6,18,0.3671,-0.4434,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_7_of_18
0.003,0,WAYPOINT_PLAN,7,18,0.3829,-0.7662,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_8_of_18
0.003,0,WAYPOINT_PLAN,8,18,0.0765,-0.8639,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_9_of_18
0.003,0,WAYPOINT_PLAN,9,18,0.0236,-0.5553,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_10_of_18
0.003,0,WAYPOINT_PLAN,10,18,-0.0290,-0.2560,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_11_of_18
0.003,0,WAYPOINT_PLAN,11,18,-0.3385,-0.3068,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,planned_12_of_18
