timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,status_msg
1772262528.8308098,,999,76.6,False,False,0.036,0.002,0.966,0.967,-0.21,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262529.08883,,999,77.0,False,False,-0.019,-0.004,1.015,1.015,0.31,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262529.3544064,,999,76.6,False,False,-0.011,0.011,1.007,1.007,-0.23,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262529.6197703,,999,84.5,False,False,-0.002,-0.0,1.046,1.046,-0.1,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262529.8785095,,999,77.0,False,False,0.023,0.005,0.974,0.974,-0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262530.1441247,,999,76.6,False,False,0.003,0.006,1.008,1.008,-0.19,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262530.408642,,999,76.6,False,False,-0.054,0.004,1.137,1.138,-0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262530.6671867,,999,76.6,False,False,-0.006,-0.001,1.063,1.063,-0.55,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262530.932377,,999,76.6,False,False,-0.021,-0.007,1.072,1.072,-0.51,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262531.1971326,,999,76.6,False,False,0.012,-0.0,1.012,1.012,0.61,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262531.4556358,,999,76.6,False,False,-0.016,-0.009,1.045,1.045,0.67,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262531.720586,,999,76.6,False,False,-0.023,-0.001,1.034,1.034,0.28,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262531.9856055,,999,76.6,False,False,-0.049,0.001,1.112,1.113,-0.16,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262532.243283,,999,76.6,False,False,-0.021,0.002,1.087,1.087,-0.32,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262532.5079136,,999,76.5,False,False,-0.045,0.015,1.113,1.114,-0.4,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262532.7725213,,999,76.6,False,False,-0.02,-0.003,1.034,1.034,0.39,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262533.0309935,,999,76.6,False,False,0.014,-0.003,1.003,1.003,0.49,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262533.2956815,,999,77.0,False,False,-0.001,-0.016,1.01,1.01,0.43,0.0,12.21,5.83,,,,,,,,,,,,,,,,
