timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,touch_x,touch_y,touch_conf,status_msg
1772263522.4673543,,999,76.6,False,False,0.035,-0.006,0.952,0.952,-0.54,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263522.725019,,999,76.6,False,False,-0.022,-0.005,1.071,1.071,0.29,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263522.9894147,,999,76.7,False,False,-0.035,0.009,1.054,1.054,-0.2,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263523.253835,,999,76.6,False,False,-0.047,-0.001,1.094,1.095,0.02,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263523.513076,,999,76.6,False,False,-0.062,-0.012,1.121,1.122,-0.12,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263523.778171,,999,76.6,False,False,-0.043,-0.014,1.114,1.115,-0.58,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263524.0433424,,999,76.6,False,False,-0.033,-0.001,1.065,1.065,0.01,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263524.3011997,,999,76.6,False,False,-0.05,-0.006,1.104,1.105,-0.25,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263524.5657954,,999,76.6,False,False,-0.032,-0.009,1.084,1.084,-0.12,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263524.8300576,,999,76.6,False,False,-0.018,-0.003,1.023,1.023,0.42,0.0,12.21,5.83,,,,,,,,,,,,,,,,,,,
1772263525.0882938,,999,76.6,False,False,-0.039,-0.001,1.069,1.069,-0.26,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263525.3531046,,999,73.0,False,False,-0.081,0.008,1.17,1.172,-0.15,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263525.6176782,,999,76.7,False,False,-0.042,0.005,1.075,1.075,-0.15,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263525.8752832,,999,72.6,False,False,-0.009,-0.002,1.014,1.014,0.33,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263526.1407464,,999,76.6,False,False,-0.022,-0.002,1.035,1.035,0.04,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263526.4056785,,999,76.6,False,False,-0.002,-0.011,1.026,1.026,-0.48,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263526.663501,,999,76.6,False,False,-0.043,0.008,1.088,1.089,0.1,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263526.9288514,,999,79.6,False,False,-0.034,0.008,1.046,1.046,-0.31,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263527.1947832,,999,76.6,False,False,-0.076,0.0,1.149,1.151,-0.01,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263527.4548404,,999,76.6,False,False,-0.015,0.002,1.012,1.012,0.24,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263527.7204006,,999,76.6,False,False,-0.031,0.003,1.093,1.093,-0.51,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263527.9870496,,999,76.6,False,False,-0.006,0.007,1.003,1.003,0.14,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263528.2450888,,999,76.6,False,False,0.01,-0.005,0.987,0.987,-0.32,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263528.5100675,,999,76.6,False,False,0.004,0.0,1.013,1.013,0.12,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263528.7757673,,999,76.6,False,False,-0.029,0.002,1.055,1.055,0.31,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263529.0353,,999,76.6,False,False,-0.002,0.02,1.025,1.025,-0.44,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263529.2999818,,999,76.6,False,False,-0.023,-0.008,1.041,1.041,0.08,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263529.564704,,999,77.0,False,False,-0.022,0.006,1.049,1.049,-0.24,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263529.823479,,999,75.3,False,False,-0.005,-0.011,1.02,1.02,-0.25,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263530.088447,,999,76.6,False,False,-0.051,0.016,1.103,1.104,-0.29,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263530.3535275,,999,77.0,False,False,-0.023,0.014,1.034,1.034,-0.14,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263530.613986,,999,77.0,False,False,-0.056,0.0,1.143,1.144,-0.4,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263530.8785908,,999,77.0,False,False,-0.021,0.006,1.015,1.015,0.29,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263531.143981,,999,77.0,False,False,-0.024,0.001,1.031,1.031,0.39,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263531.4025812,,999,77.0,False,False,-0.02,-0.002,1.025,1.025,0.43,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263531.6685483,,999,77.0,False,False,0.005,-0.005,1.012,1.012,-0.07,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263531.9342115,,999,77.0,False,False,-0.012,-0.015,1.025,1.025,0.36,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263532.1924314,,999,76.9,False,False,-0.009,-0.018,1.029,1.029,0.46,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263532.4567306,,999,77.0,False,False,-0.055,0.013,1.136,1.137,-0.6,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263532.7218134,,92.6,77.0,False,False,-0.076,0.004,1.183,1.185,-0.36,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263532.9798036,,999,77.4,False,False,-0.057,-0.005,1.151,1.152,-0.22,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263533.244447,,999,77.0,False,False,-0.035,0.005,1.04,1.04,0.1,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263533.5093489,,999,76.5,False,False,-0.029,-0.007,1.067,1.067,0.19,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263533.7675138,,999,77.0,False,False,-0.068,0.002,1.135,1.137,-0.34,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263534.032563,,999,77.0,False,False,-0.074,0.001,1.141,1.143,-0.22,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263534.296957,,999,76.5,False,False,-0.045,0.017,1.081,1.082,-0.32,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263534.5549202,,999,77.0,False,False,-0.017,-0.004,1.031,1.031,0.34,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263534.8196511,,999,77.0,False,False,-0.039,-0.003,1.076,1.076,-0.17,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263535.084199,,999,77.0,False,False,0.005,0.004,1.021,1.021,-0.09,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263535.3420892,,999,76.6,False,False,-0.021,0.005,1.015,1.015,0.14,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263535.6071887,,999,77.0,False,False,-0.027,0.004,1.08,1.08,-0.58,0.0,12.21,5.82,,,,,,,,,,,,,,,,,,,
1772263535.6362424,,,,,,,,,,,,,,TOUCH_TRACKING,,,,,,,,,,,,,,,0.59,0.54,,TOUCH TARGET ACQUIRED
1772263535.6858838,,999,77.0,0,0,,,,1.08,-1.4,,,,TOUCH_TRACKING,TOUCH TARGET,1,6400,17.8,CLEAR,100,32.1,50.0,22.4,76.7,23.3,0,0,0,,,1.0,>> HUNTING: TOUCH TARGET
