Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772536043.326,23.9,0,0,200.0,200.0,1,-30.28,20.2,28.6,20.0,60.0,11.28,5.76,129.0,🔥 CARVE d=24cm L:200 R:200
1772536043.380,22.8,0,0,200.0,200.0,1,-14.22,34.4,41.5,40.0,40.0,11.93,5.77,129.0,🔥 CARVE d=23cm L:200 R:200
1772536043.435,29.1,0,0,200.0,200.0,1,-14.22,44.3,47.3,60.0,20.0,11.93,5.77,129.0,🔥 CARVE d=29cm L:200 R:200
1772536043.489,23.4,0,0,200.0,200.0,1,-14.22,51.3,49.9,80.0,8.6,11.93,5.77,129.0,🔥 CARVE d=23cm L:200 R:200
1772536043.543,22.2,0,0,200.0,200.0,1,-1.90,56.2,51.0,100.0,3.7,11.51,5.77,129.0,🔥 CARVE d=22cm L:200 R:200
1772536043.596,21.6,0,0,200.0,200.0,1,-1.90,59.6,51.6,100.0,1.3,11.51,5.77,129.0,🔥 CARVE d=22cm L:200 R:200
1772536043.650,18.7,0,0,200.0,200.0,1,-1.90,61.9,51.8,100.0,0.4,11.51,5.77,129.0,🔥 CARVE d=19cm L:200 R:200
1772536043.704,16.8,0,0,200.0,200.0,1,-19.84,63.6,51.9,100.0,0.5,11.38,5.77,129.0,🔥 CARVE d=17cm L:200 R:200
1772536043.757,15.5,0,0,200.0,200.0,1,-19.84,64.8,52.0,100.0,0.4,11.38,5.77,129.0,🔥 CARVE d=16cm L:200 R:200
1772536051.870,169.6,0,0,200.0,200.0,1,-34.17,27.0,1.2,21.6,60.0,11.07,5.76,120.0,🐍 SLALOM d=170cm L:200 R:200
1772536051.933,169.6,0,0,200.0,200.0,1,-21.66,45.9,2.2,41.6,40.1,11.92,5.77,120.0,🐍 SLALOM d=170cm L:200 R:200
1772536051.995,169.9,0,0,200.0,200.0,1,-21.66,59.1,2.9,61.6,52.5,11.92,5.77,120.0,🐍 SLALOM d=170cm L:200 R:200
1772536052.058,170.6,0,0,200.0,200.0,1,-21.66,68.4,3.4,75.6,61.1,11.92,5.77,120.0,🐍 SLALOM d=171cm L:200 R:200
1772536052.112,25.1,0,0,200.0,200.0,1,6.85,58.4,6.7,65.2,51.5,11.17,5.76,120.0,🐍 SLALOM d=25cm L:200 R:200
1772536052.166,19.0,0,0,200.0,200.0,1,6.85,51.4,9.1,61.1,41.6,11.17,5.76,120.0,🐍 SLALOM d=19cm L:200 R:200
1772536052.231,212.0,0,0,200.0,200.0,0,6.85,63.0,8.1,71.5,54.4,11.17,5.76,120.0,🐍 SLALOM d=212cm L:200 R:200
1772536052.296,211.6,0,0,200.0,200.0,0,-17.32,71.1,6.1,80.8,61.3,11.24,5.76,120.0,🛣️ CRUISE [62%] Δd -32.9cm/t
1772536052.361,207.6,0,0,200.0,200.0,0,-17.32,76.7,4.5,84.7,68.8,11.24,5.76,120.0,🛣️ CRUISE [71%] Δd -18.2cm/t
1772536052.426,206.0,0,0,200.0,200.0,0,1.73,80.7,3.4,84.5,77.0,11.17,5.76,120.0,🛣️ CRUISE [76%] Δd -10.2cm/t
1772536052.487,151.3,0,0,200.0,200.0,1,1.73,71.7,2.6,74.5,69.0,11.17,5.76,120.0,🛣️ CRUISE [80%] Δd +15.7cm/t
1772536052.541,15.9,0,0,200.0,200.0,1,1.73,60.7,1.9,62.7,58.7,11.17,5.76,120.0,🛣️ CRUISE [71%] Δd +63.6cm/t
1772536052.613,300.0,0,0,200.0,200.0,0,-7.61,69.5,1.4,72.3,66.6,11.07,5.76,120.0,🛣️ CRUISE [60%] Δd -75.5cm/t
1772536052.686,300.0,0,0,200.0,200.0,0,-7.61,75.6,1.1,78.1,73.2,11.07,5.76,120.0,🛣️ CRUISE [69%] Δd -45.3cm/t
1772536052.759,300.0,0,0,200.0,200.0,0,-4.85,79.9,0.8,81.6,78.3,10.99,5.76,120.0,🛣️ CRUISE [75%] Δd -27.2cm/t
1772536052.831,300.0,0,0,200.0,200.0,0,-4.85,83.0,0.6,84.4,81.5,10.99,5.76,120.0,🛣️ CRUISE [79%] Δd -16.3cm/t
1772536052.904,300.0,0,0,200.0,200.0,0,-35.03,85.1,0.5,90.9,79.3,11.15,5.76,123.0,🛣️ CRUISE [82%] Δd -9.8cm/t
1772536052.966,154.7,0,0,200.0,200.0,1,-35.03,86.6,4.5,97.1,76.0,11.15,5.76,123.0,🐍 SLALOM d=155cm L:200 R:200
1772536053.027,153.3,0,0,200.0,200.0,1,16.13,87.6,7.5,94.0,81.2,10.94,5.76,123.0,🐍 SLALOM d=153cm L:200 R:200
1772536053.089,153.1,0,0,200.0,200.0,1,16.13,88.3,9.7,97.4,79.2,10.94,5.76,123.0,🐍 SLALOM d=153cm L:200 R:200
1772536053.150,155.3,0,0,200.0,200.0,1,16.13,88.8,10.7,99.1,78.6,10.94,5.76,123.0,🐍 SLALOM d=155cm L:200 R:200
1772536053.223,300.0,0,0,200.0,200.0,0,21.05,89.2,9.3,97.0,81.4,11.00,5.76,123.0,🐍 SLALOM d=300cm L:200 R:200
1772536053.286,169.3,0,0,200.0,200.0,1,21.05,89.4,11.1,99.3,79.5,11.00,5.76,123.0,🐍 SLALOM d=169cm L:200 R:200
1772536053.358,300.0,0,0,200.0,200.0,0,50.58,89.6,9.6,93.3,85.9,11.06,5.76,123.0,🐍 SLALOM d=300cm L:200 R:200
1772536053.431,300.0,0,0,200.0,200.0,0,50.58,89.7,7.2,90.6,88.8,11.06,5.76,123.0,🛣️ CRUISE [89%] Δd -23.7cm/t
