time_sec,target_rpm,rl_rpm,rr_rpm,fr_rpm,rl_pwm,rr_pwm,fr_pwm,fl_pwm
1773033316.510,100,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1773033316.561,100,0.0,0.0,0.0,4.0,4.0,4.0,4.0
1773033316.612,100,0.0,0.0,0.0,5.0,5.0,5.0,5.0
1773033316.663,100,0.0,0.0,0.0,5.4,5.4,5.4,5.4
1773033316.714,100,0.0,0.0,0.0,5.8,5.8,5.8,5.8
1773033316.766,100,0.0,0.0,0.0,6.2,6.2,6.2,6.2
1773033316.817,100,0.0,0.0,0.0,6.6,6.6,6.6,6.6
1773033316.868,100,0.0,0.0,0.0,7.0,7.0,7.0,7.0
1773033316.919,100,0.0,0.0,0.0,7.4,7.4,7.4,7.4
1773033316.970,100,0.0,0.0,0.0,7.8,7.8,7.8,7.8
1773033317.022,100,0.0,0.0,0.0,8.2,8.2,8.2,8.2
1773033317.073,100,0.0,0.0,0.0,8.6,8.6,8.6,8.6
1773033317.124,100,0.0,0.0,0.0,9.0,9.0,9.0,9.0
1773033317.176,100,0.0,0.0,0.0,9.4,9.4,9.4,9.4
1773033317.227,100,0.0,0.0,0.0,9.8,9.8,9.8,9.8
1773033317.278,100,0.0,0.0,0.0,10.2,10.2,10.2,10.2
1773033317.330,100,0.0,0.0,0.0,10.6,10.6,10.6,10.6
1773033317.382,100,0.0,0.0,0.0,11.0,11.0,11.0,11.0
1773033317.433,100,0.0,0.0,0.0,11.4,11.4,11.4,11.4
1773033317.484,100,0.0,0.0,0.0,11.8,11.8,11.8,11.8
1773033317.535,100,0.0,0.0,0.0,12.2,12.2,12.2,12.2
1773033317.587,100,0.0,0.0,0.0,12.6,12.6,12.6,12.6
1773033317.639,100,0.0,0.0,0.0,13.0,13.0,13.0,13.0
1773033317.690,100,0.0,0.0,0.0,13.4,13.4,13.4,13.4
1773033317.741,100,0.0,0.0,0.0,13.8,13.8,13.8,13.8
1773033317.793,100,0.0,0.0,0.0,14.2,14.2,14.2,14.2
1773033317.845,100,0.0,0.0,0.0,14.6,14.6,14.6,14.6
1773033317.896,100,0.0,0.0,0.0,15.0,15.0,15.0,15.0
